lang	lang_desc	denom	num	pct100str	pct100	denom_1	num_1	pct100str_1	pct100_1	denom_2	num_2	pct100str_2	pct100_2	denom_3	num_3	pct100str_3	pct100_3	denom_4	num_4	pct100str_4	pct100_4	denom_5	num_5	pct100str_5	pct100_5
sco	Scots	2499	495	19.8	19.807923169267706	503	204	40.6	40.55666003976143	503	101	20.1	20.07952286282306	500	80	16.0	16.0	500	65	13.0	13.0	493	45	9.1	9.127789046653144
ce	Chechen	2499	487	19.5	19.48779511804722	503	142	28.2	28.230616302186878	503	103	20.5	20.47713717693837	500	89	17.8	17.8	500	92	18.4	18.4	493	61	12.4	12.373225152129818
ne	Nepali	2499	479	19.2	19.16766706682673	503	156	31.0	31.013916500994036	503	103	20.5	20.47713717693837	500	84	16.8	16.8	500	83	16.6	16.6	493	53	10.8	10.75050709939148
ceb	Cebuano	2499	477	19.1	19.087635054021607	503	137	27.2	27.23658051689861	503	96	19.1	19.08548707753479	500	101	20.2	20.2	500	77	15.4	15.4	493	66	13.4	13.387423935091277
jv	Javanese	2499	473	18.9	18.927571028411364	503	149	29.6	29.62226640159046	503	102	20.3	20.278330019880716	500	82	16.4	16.4	500	73	14.6	14.6	493	67	13.6	13.59026369168357
kw	Cornish	2499	464	18.6	18.567426970788315	503	154	30.6	30.616302186878727	503	101	20.1	20.07952286282306	500	75	15.0	15.0	500	72	14.4	14.4	493	62	12.6	12.57606490872211
mnc	Manchu	2499	457	18.3	18.28731492597039	503	157	31.2	31.21272365805169	503	85	16.9	16.898608349900595	500	88	17.6	17.6	500	70	14.0	14.0	493	57	11.6	11.561866125760648
enm	Middle English	2499	448	17.9	17.92717086834734	503	112	22.3	22.266401590457257	503	95	18.9	18.88667992047714	500	89	17.8	17.8	500	79	15.8	15.8	493	73	14.8	14.807302231237323
ltg	Latgalian	2499	442	17.7	17.687074829931973	503	153	30.4	30.417495029821072	503	101	20.1	20.07952286282306	500	63	12.6	12.6	500	73	14.6	14.6	493	52	10.5	10.547667342799189
sah	Yakut	2499	441	17.6	17.647058823529413	503	136	27.0	27.037773359840955	503	91	18.1	18.09145129224652	500	87	17.4	17.4	500	76	15.2	15.2	493	51	10.3	10.344827586206897
dng	Dungan	2499	428	17.1	17.126850740296117	503	152	30.2	30.218687872763418	503	85	16.9	16.898608349900595	500	84	16.8	16.8	500	64	12.8	12.8	493	43	8.7	8.72210953346856
sc	Sardinian	2499	424	17.0	16.966786714685874	503	149	29.6	29.62226640159046	503	84	16.7	16.69980119284294	500	66	13.2	13.2	500	80	16.0	16.0	493	45	9.1	9.127789046653144
rsk	Pannonian Rusyn	2499	423	16.9	16.926770708283314	503	118	23.5	23.45924453280318	503	88	17.5	17.495029821073558	500	85	17.0	17.0	500	75	15.0	15.0	493	57	11.6	11.561866125760648
kn	Kannada	2499	419	16.8	16.766706682673068	503	124	24.7	24.652087475149106	503	86	17.1	17.09741550695825	500	80	16.0	16.0	500	67	13.4	13.4	493	62	12.6	12.57606490872211
om	Oromo	2499	417	16.7	16.686674669867948	503	134	26.6	26.640159045725646	503	84	16.7	16.69980119284294	500	82	16.4	16.4	500	70	14.0	14.0	493	47	9.5	9.533468559837727
